Country,2015,2016,2017,2018,2019
Afghanistan,33700000,34700000,35500000,36400000,37200000
Albania,2920000,2930000,2930000,2930000,2940000
Algeria,39900000,40600000,41300000,42000000,42700000
Andorra,78000,77300,77000,77000,77100
Angola,27900000,28800000,29800000,30800000,31800000
Antigua and Barbuda,99900,101000,102000,103000,104000
Argentina,43400000,43800000,44300000,44700000,45100000
Armenia,2920000,2920000,2930000,2930000,2940000
Australia,23800000,24100000,24500000,24800000,25100000
Austria,8680000,8710000,8740000,8750000,8770000
Azerbaijan,9620000,9730000,9830000,9920000,10000000
Bahamas,387000,391000,395000,399000,403000
Bahrain,1370000,1430000,1490000,1570000,1640000
Bangladesh,161000000,163000000,165000000,166000000,168000000
Barbados,284000,285000,286000,286000,287000
Belarus,9490000,9480000,9470000,9450000,9430000
Belgium,11300000,11400000,11400000,11500000,11600000
Belize,359000,367000,375000,382000,390000
Benin,10600000,10900000,11200000,11500000,11800000
Bhutan,787000,798000,808000,817000,826000
Bolivia,10700000,10900000,11100000,11200000,11400000
Bosnia and Herzegovina,3540000,3520000,3510000,3500000,3500000
Botswana,2210000,2250000,2290000,2330000,2370000
Brazil,206000000,208000000,209000000,211000000,212000000
Brunei,418000,423000,429000,434000,439000
Bulgaria,7180000,7130000,7080000,7040000,6990000
Burkina Faso,18100000,18600000,19200000,19800000,20300000
Burundi,10200000,10500000,10900000,11200000,11600000
Cambodia,15500000,15800000,16000000,16200000,16500000
Cameroon,22800000,23400000,24100000,24700000,25300000
Canada,35900000,36300000,36600000,37000000,37300000
Cape Verde,533000,540000,546000,553000,560000
Central African Republic,4550000,4590000,4660000,4740000,4830000
Chad,14000000,14500000,14900000,15400000,15800000
Chile,17800000,17900000,18100000,18200000,18300000
China,1400000000,1400000000,1410000000,1420000000,1420000000
Colombia,48200000,48700000,49100000,49500000,49800000
Comoros,777000,796000,814000,832000,851000
"Congo, Dem. Rep.",76200000,78700000,81300000,84000000,86700000
"Congo, Rep.",5000000,5130000,5260000,5400000,5540000
Costa Rica,4810000,4860000,4910000,4950000,5000000
Cote d'Ivoire,23100000,23700000,24300000,24900000,25500000
Croatia,4240000,4210000,4190000,4160000,4140000
Cuba,11500000,11500000,11500000,11500000,11500000
Cyprus,1160000,1170000,1180000,1190000,1200000
Czech Republic,10600000,10600000,10600000,10600000,10600000
Denmark,5690000,5710000,5730000,5750000,5780000
Djibouti,927000,942000,957000,971000,986000
Dominica,73200,73500,73900,74300,74700
Dominican Republic,10500000,10600000,10800000,10900000,11000000
Ecuador,16100000,16400000,16600000,16900000,17100000
Egypt,93800000,95700000,97600000,99400000,101000000
El Salvador,6310000,6340000,6380000,6410000,6450000
